,No.,Block_No,Focal_species,Species_code,Population_code,Treatment,Comp_trt,Competitor,Time_in_Exp,initial_nonfocal_leaf_count,initial_focal_leaf_count,nonfocal_root_length,nonfocal_shoot_height,nonfocal_root_mass,nonfocal_shoot_mass,focal_root_length,focal_shoot_height,focal_root_mass,focal_shoot_mass,Trt,focal_species,Type,nonfocal_leaf_count,focal_leaf_count,Nonfocal_species,focal_full_mass,nonfocal_full_mass,focal_rmf,nonfocal_rmf,rmf_diff,shoot_height_diff,root_length_diff,leaf_count_diff,pot_mass,abs_rmf_diff,abs_root_length_diff,abs_shoot_height_diff,final_leaf_diff,abs_final_leaf_diff,initial_leaf_diff,abs_initial_leaf_diff
460,247,8,Dieteria canescens,DICA,DICA-C,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,43,6,5,4.74341649,2.674148649,3.122364924,11.63185282,3.605551275,2.397895273,2.121320344,6.618156843,DICA-C Intraspecific_competition MACA-A,NA,Intraspecific mixture,13,10,Dieteria canescens,2.956260676,3.841121938,0.093167702,0.143670886,-0.050503184,-3.5,-9.5,-3,206.3,0.050503184,9.5,3.5,-3,3,-1,1
461,248,8,Dieteria canescens,DICA,DICA-C,Intraspecific_competition,Intraspecific - MACA-B,DICA-B,43,4,6,3.240370349,2.014903021,1.568615918,4.711687596,4.123105626,2.48490665,5.403702434,11.87434209,DICA-C Intraspecific_competition MACA-B,NA,Intraspecific mixture,14,19,Dieteria canescens,4.156686724,2.506053374,0.171562867,0.177777778,-0.006214911,4.5,6.5,5,197.2,0.006214911,6.5,4.5,5,5,2,2
462,250,8,Dieteria canescens,DICA,DICA-C,Monoculture,Monoculture - DICA-C,DICA-C,43,NA,NA,2.645751311,1.791759469,0.405465108,6.284902545,2.236067977,1.609437912,0.836660027,4.837354649,DICA-C Monoculture MACA-C,NA,Monoculture,11,7,Dieteria canescens,2.382019033,2.586574502,0.029045643,0.036585366,-0.007539723,-1,-2,-4,65.1,0.007539723,2,1,-4,4,NA,NA
463,257,9,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,44,7,7,5.431390246,1.791759469,3.763522997,8.136338243,5.196152423,2.079441542,6.033241252,11.73882447,MACA-A Interspecific_competition HEVI-A,NA,Interspecific mixture,12,20,Heterotheca villosa,4.215692793,3.44961755,0.208955224,0.394327539,-0.185372315,2,-2.5,8,283.5,0.185372315,2.5,2,8,8,0,0
464,258,9,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,44,6,5,4.582575695,0.916290732,2.066862759,3.209361307,6.244997998,2.302585093,6.14817046,10.21273715,MACA-A Interspecific_competition HEVI-C,NA,Interspecific mixture,5,13,Heterotheca villosa,4.044861877,2.29700328,0.266009852,0.434065934,-0.168056082,7.5,18,8,160.3,0.168056082,18,7.5,8,8,-1,1
465,259,9,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,43,5,4,4.183300133,1.504077397,2.912350665,5.796550698,5.787918451,1.974081026,7.38241153,11.20267825,MACA-A Interspecific_competition HEVI-B,NA,Interspecific mixture,6,12,Heterotheca villosa,4.311042772,2.951084777,0.302777778,0.353846154,-0.051068376,2.7,16,6,232,0.051068376,16,2.7,6,6,-1,1
466,260,9,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,44,4,7,2.645751311,1.386294361,0.182321557,4.135214626,5.477225575,2.014903021,7.162401832,13.93915349,MACA-A Intraspecific_competition MACA-A,NA,Monoculture,10,15,Dieteria canescens,4.593642925,2.077868182,0.208876221,0.06557377,0.143302451,3.5,23,5,263.9,0.143302451,23,3.5,5,5,3,3
467,262,9,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - MACA-B,DICA-B,44,4,7,4.582575695,2.302585093,2.406945108,6.841052551,3.872983346,2.564949357,5.412947441,11.9749739,MACA-A Intraspecific_competition MACA-B,NA,Intraspecific mixture,11,18,Dieteria canescens,4.169882654,3.041052064,0.169658367,0.191709845,-0.022051477,3,-6,7,230.6,0.022051477,6,3,7,7,3,3
468,263,9,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - DICA-C,DICA-C,43,5,4,3.807886553,2.48490665,2.140066163,8.378544026,5.787918451,2.302585093,5.744562647,9.513148795,MACA-A Intraspecific_competition MACA-C,NA,Intraspecific mixture,NA,NA,Dieteria canescens,3.906112062,3.243240693,0.267206478,0.108005083,0.159201395,-2,19,NA,202.2,0.159201395,19,2,NA,NA,-1,1
469,264,9,Dieteria canescens,DICA,DICA-A,Monoculture,Monoculture - MACA-A,DICA-A,44,NA,NA,4.582575695,2.197224577,4.012772909,12.52597302,6,2.079441542,7.092249291,12.85690476,MACA-A Monoculture MACA-A,NA,Monoculture,12,15,Dieteria canescens,4.466447587,4.066785699,0.233302412,0.260603205,-0.027300793,-1,15,3,427.8,0.027300793,15,1,3,3,NA,NA
